mode        	  E   C    COLL   EMIN      PHI     D        npdb    r_MSF  SE_r     esig  SE_esig  eSR   eMR   eLR     e_nc  ncSR  ncMR  ncLR    e_nci nciSR nciMR nciLR
PHI         	  6   5.0   11.0  99.00     2.00   0.00       349    0.672  0.010    0.390  0.011   0.385 0.400 0.357   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0   8.00     4.00   0.00       349    0.669  0.010    0.415  0.011   0.414 0.427 0.369   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0   8.00    20.00   0.00       349    0.653  0.010    0.487  0.014   0.491 0.503 0.406   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0   8.00   100.00   0.00       349    0.628  0.010    0.561  0.016   0.572 0.582 0.444   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  6   5.0   11.0   8.00   500.00   0.00       349    0.593  0.010    0.633  0.017   0.653 0.657 0.480   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.0   11.0  99.00     0.20   0.00       349    0.653  0.011    0.352  0.006   0.320 0.364 0.392   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.0   11.0  99.00     0.50   0.00       349    0.661  0.010    0.349  0.007   0.327 0.360 0.365   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.0   11.0   8.00     1.00   0.00       349    0.666  0.010    0.358  0.008   0.342 0.369 0.357   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.0   11.0  99.00     1.00   0.00       349    0.665  0.010    0.358  0.008   0.342 0.369 0.357   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.0   11.0  99.00     2.00   0.00       349    0.666  0.010    0.377  0.009   0.365 0.389 0.361   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.0   11.0   8.00     4.00   0.00       349    0.664  0.010    0.404  0.010   0.394 0.417 0.373   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.0   11.0   8.00    20.00   0.00       349    0.647  0.010    0.478  0.013   0.475 0.496 0.410   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.0   11.0   8.00   100.00   0.00       349    0.620  0.010    0.554  0.015   0.558 0.577 0.448   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.0   11.0   8.00   500.00   0.00       349    0.584  0.010    0.627  0.017   0.641 0.652 0.482   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.5   11.0  99.00     0.20   0.00       349    0.661  0.010    0.354  0.007   0.326 0.365 0.385   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.5   11.0  99.00     0.50   0.00       349    0.668  0.010    0.353  0.008   0.334 0.363 0.362   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.5   11.0   8.00     1.00   0.00       349    0.672  0.010    0.362  0.009   0.348 0.372 0.354   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.5   11.0  99.00     1.00   0.00       349    0.672  0.010    0.362  0.009   0.348 0.372 0.354   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.5   11.0  99.00     2.00   0.00       349    0.672  0.010    0.380  0.010   0.370 0.391 0.357   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.5   11.0   8.00     4.00   0.00       349    0.670  0.010    0.405  0.011   0.399 0.418 0.368   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.5   11.0   8.00    20.00   0.00       349    0.654  0.010    0.478  0.013   0.478 0.496 0.406   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.5   11.0   8.00   100.00   0.00       349    0.626  0.010    0.554  0.015   0.560 0.576 0.444   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   4.5   11.0   8.00   500.00   0.00       349    0.590  0.010    0.626  0.017   0.641 0.651 0.480   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   5.0   11.0  99.00     0.20   0.00       349    0.662  0.010    0.357  0.008   0.331 0.367 0.381   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   5.0   11.0  99.00     0.50   0.00       349    0.669  0.010    0.357  0.009   0.340 0.367 0.360   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   5.0   11.0   8.00     1.00   0.00       349    0.673  0.010    0.367  0.010   0.356 0.377 0.354   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   5.0   11.0  99.00     1.00   0.00       349    0.672  0.010    0.367  0.010   0.355 0.377 0.354   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   5.0   11.0  99.00     2.00   0.00       349    0.673  0.010    0.385  0.010   0.378 0.396 0.357   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   5.0   11.0   8.00     4.00   0.00       349    0.670  0.010    0.410  0.011   0.406 0.423 0.368   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   5.0   11.0   8.00    20.00   0.00       349    0.654  0.010    0.481  0.013   0.482 0.499 0.406   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   5.0   11.0   8.00   100.00   0.00       349    0.627  0.010    0.555  0.016   0.562 0.577 0.444   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	  8   5.0   11.0   8.00   500.00   0.00       349    0.591  0.010    0.626  0.017   0.642 0.651 0.479   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.0   11.0  99.00     0.20   0.00       349    0.650  0.011    0.356  0.006   0.322 0.368 0.398   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.0   11.0  99.00     0.50   0.00       349    0.659  0.010    0.350  0.007   0.326 0.361 0.370   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.0   11.0   8.00     1.00   0.00       349    0.664  0.010    0.357  0.008   0.339 0.368 0.360   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.0   11.0  99.00     1.00   0.00       349    0.663  0.010    0.357  0.008   0.339 0.368 0.360   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.0   11.0  99.00     2.00   0.00       349    0.665  0.010    0.374  0.009   0.361 0.386 0.361   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.0   11.0   8.00     4.00   0.00       349    0.664  0.010    0.400  0.010   0.389 0.413 0.372   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.0   11.0   8.00    20.00   0.00       349    0.648  0.010    0.473  0.013   0.467 0.491 0.409   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.0   11.0   8.00   100.00   0.00       349    0.620  0.010    0.548  0.015   0.549 0.571 0.446   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.0   11.0   8.00   500.00   0.00       349    0.584  0.010    0.619  0.017   0.629 0.645 0.480   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.5   11.0  99.00     0.20   0.00       349    0.659  0.011    0.356  0.007   0.325 0.367 0.389   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.5   11.0  99.00     0.50   0.00       349    0.666  0.010    0.352  0.008   0.331 0.363 0.365   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.5   11.0   8.00     1.00   0.00       349    0.671  0.010    0.360  0.009   0.344 0.371 0.355   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.5   11.0  99.00     1.00   0.00       349    0.670  0.010    0.360  0.009   0.344 0.371 0.356   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.5   11.0  99.00     2.00   0.00       349    0.671  0.010    0.376  0.010   0.365 0.388 0.357   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.5   11.0   8.00     4.00   0.00       349    0.670  0.010    0.401  0.011   0.393 0.414 0.368   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.5   11.0   8.00    20.00   0.00       349    0.654  0.010    0.473  0.013   0.470 0.491 0.405   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.5   11.0   8.00   100.00   0.00       349    0.625  0.010    0.548  0.015   0.550 0.571 0.443   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   4.5   11.0   8.00   500.00   0.00       349    0.589  0.010    0.618  0.017   0.629 0.644 0.478   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   5.0   11.0  99.00     0.20   0.00       349    0.660  0.010    0.356  0.008   0.327 0.367 0.385   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   5.0   11.0  99.00     0.50   0.00       349    0.667  0.010    0.355  0.008   0.335 0.366 0.363   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   5.0   11.0   8.00     1.00   0.00       349    0.671  0.010    0.364  0.009   0.349 0.375 0.355   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   5.0   11.0  99.00     1.00   0.00       349    0.671  0.010    0.363  0.009   0.349 0.374 0.355   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   5.0   11.0  99.00     2.00   0.00       349    0.672  0.010    0.381  0.010   0.370 0.392 0.358   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   5.0   11.0   8.00     4.00   0.00       349    0.670  0.010    0.405  0.011   0.398 0.418 0.368   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   5.0   11.0   8.00    20.00   0.00       349    0.654  0.010    0.476  0.013   0.473 0.494 0.405   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   5.0   11.0   8.00   100.00   0.00       349    0.626  0.010    0.548  0.015   0.551 0.571 0.443   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 10   5.0   11.0   8.00   500.00   0.00       349    0.589  0.010    0.618  0.017   0.630 0.644 0.477   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 12   4.0   11.0   8.00     0.01   0.00       349    0.611  0.011    0.457  0.008   0.389 0.480 0.545   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 12   4.0   11.0   8.00     0.10   0.00       349    0.639  0.011    0.378  0.006   0.334 0.392 0.440   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 12   4.0   11.0   8.00     0.50   0.00       349    0.658  0.010    0.354  0.007   0.327 0.365 0.378   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 12   4.5   11.0   8.00     0.01   0.00       349    0.624  0.011    0.423  0.007   0.366 0.442 0.501   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 12   4.5   11.0   8.00     0.10   0.00       349    0.650  0.011    0.372  0.007   0.332 0.386 0.423   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 12   4.5   11.0   8.00     0.50   0.00       349    0.665  0.010    0.355  0.007   0.330 0.366 0.372   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 12   5.0   11.0   8.00     0.01   0.00       349    0.629  0.011    0.414  0.008   0.359 0.430 0.491   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 12   5.0   11.0   8.00     0.10   0.00       349    0.651  0.010    0.370  0.007   0.332 0.383 0.417   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 12   5.0   11.0   8.00     0.50   0.00       349    0.666  0.010    0.356  0.008   0.333 0.367 0.371   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   4.0   11.0   8.00     0.01   0.00       349    0.609  0.011    0.463  0.008   0.394 0.486 0.554   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   4.0   11.0   8.00     0.10   0.00       349    0.636  0.011    0.384  0.006   0.338 0.399 0.447   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   4.0   11.0   8.00     0.50   0.00       349    0.655  0.011    0.357  0.007   0.328 0.368 0.385   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   4.5   11.0   8.00     0.01   0.00       349    0.620  0.011    0.431  0.007   0.371 0.450 0.509   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   4.5   10.0   8.00     0.10   0.00       349    0.645  0.011    0.377  0.006   0.335 0.391 0.430   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   4.5   11.0   8.00     0.10   0.00       349    0.645  0.011    0.377  0.006   0.335 0.391 0.430   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   4.5  160.0   8.00     0.10   0.00       349    0.550  0.012    0.532  0.020   0.508 0.565 0.458   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   4.5   11.0   8.00     0.50   0.00       349    0.661  0.010    0.357  0.007   0.330 0.368 0.378   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   5.0   11.0   8.00     0.01   0.00       349    0.623  0.011    0.422  0.007   0.364 0.440 0.501   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   5.0   11.0   8.00     0.10   0.00       349    0.646  0.011    0.374  0.007   0.334 0.388 0.426   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 14   5.0   11.0   8.00     0.50   0.00       349    0.662  0.010    0.357  0.007   0.332 0.369 0.377   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 16   4.0   11.0   8.00     0.01   0.00       349    0.606  0.011    0.470  0.008   0.399 0.493 0.562   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 16   4.0   11.0   8.00     0.10   0.00       349    0.633  0.011    0.391  0.006   0.343 0.406 0.455   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 16   4.0   11.0   8.00     0.50   0.00       349    0.651  0.011    0.360  0.006   0.330 0.372 0.391   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 16   4.5   11.0   8.00     0.01   0.00       349    0.616  0.011    0.439  0.007   0.377 0.460 0.522   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 16   4.5   11.0   8.00     0.10   0.00       349    0.641  0.011    0.383  0.006   0.339 0.398 0.438   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 16   4.5   11.0   8.00     0.50   0.00       349    0.656  0.010    0.360  0.007   0.331 0.372 0.385   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 16   5.0   11.0   8.00     0.01   0.00       349    0.619  0.011    0.432  0.007   0.371 0.451 0.512   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 16   5.0   11.0   8.00     0.10   0.00       349    0.642  0.011    0.380  0.006   0.338 0.395 0.435   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
PHI         	 16   5.0   11.0   8.00     0.50   0.00       349    0.657  0.010    0.360  0.007   0.332 0.372 0.384   0.830 0.671 0.889 1.011   0.830 0.671 0.889 1.011
